codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
01-01-0002;C406454001;COM-16-01-01-00001;distrito capital;libertador;antímano;victoria socialista;construccion de granja integral las clavellinas;cría y engorde de porcinos;24/02/2016;2016-05-25;6473673;93;NA;NA;0;0;;;;
01-01-02-001-0027;C299408760;CCO-16-01-01-00087;distrito capital;libertador;antímano;represa unida;construccion de casa de cultivo   “mariscal sucre’’. ;hortalizas;23/02/2016;2016-05-25;2823190;69;0;2;700;0;0;;;
01-01-04-001-0079;C299770124;CCO-16-01-01-00034;distrito capital;libertador;caricuao;zona b central activa (no indica);construccion de casa de cultivo;en el sector terrazas de caricuao de la parroquia caricuao;hortalizas;15/02/2016;2016-06-02;6447113;47;800;2800000;0;0;;;
01-01-06-001-0002;C302262941;CCO-16-01-01-00203;distrito capital;libertador;coche;la gallera;unidad productiva la gallera;cría y engorde de aves de corral;25/05/2016;2017-01-17;15000000;NA;NA;0;0;;;;;
01-01-10-001-0067;J299391840;CCO-16-01-01-00036;distrito capital;libertador;el valle;sector zamora parte alta (sin nombre comercial);construccion de huerto organoponico “zamora” sector de barrio cerro grande;hortalizas;15/02/2016;2016-05-25;11000900;12;142;497000;0;0;;;;
01-01-19-001-0041;J299273449;CCO-16-01-01-00025;distrito capital;libertador;santa rosalía;oraida toledo y guaicaipuro;"huerto organopónico ""sembrando patria"" sector de barrio la bandera-gran colombia";hortalizas;13/02/2016;2016-06-02;12863830;66;0;2;70;0;0;;;
02-01-01-L85-0001;J299489549;CCO-16-22-07-00013;amazonas;autónomo alto orinoco;alto orinoco;"""toky sector wameroca"" (no indica)";adquisicion de herramientas y equipos agricolas para el procesamiento de 90has. de productos autóctonos yuca; ñame; piña y maiz;raíces; tubérculos y cucurbitáceas;01/04/2016;2016-08-26;12540000;90;315000;0;0;;
02-02-0000;J404250638;COM-16-22-02-00001;amazonas;autónomo atabapo;ucata;orimed;plan de sistema de siembra de tubérculos;raíces; tubérculos y cucurbitáceas;26/02/2016;2016-12-07;17802746;5;28;98000;0;0;;;
02-03-03-068-0000;J402873263;CCO-16-22-01-00005;amazonas;autónomo atures;parhueña;el guarray;adquisicion de herramientas agricolas y semillas de yuca; planato; piña; maizy frutas autoctonas;raíces; tubérculos y cucurbitáceas;19/02/2016;2016-04-22;8975500;30;105000;0;0;
02-03-03-098-0000;C299623733;CCO-16-22-01-00022;amazonas;autónomo atures;parhueña;cerro loro;fortalecimiento a los conuqueros y parceleros de agua linda sur;raíces; tubérculos y cucurbitáceas;26/02/2016;2016-05-04;6352000;12;5;43750;0;0;;;
